FREQ,Frequency,DER_TYPE,Measure,DER_INSTR,Instrument,DER_RISK,Risk category,DER_REP_CTY,Reporting country,DER_SECTOR_CPY,Counterparty sector,DER_CPC,Counterparty country,DER_SECTOR_UDL,Underlying risk sector,DER_CURR_LEG1,Currency leg 1,DER_CURR_LEG2,Currency leg 2,DER_ISSUE_MAT,Maturity,DER_RATING,Rating (outstanding) or settlement (FX turnover),DER_EX_METHOD,Execution method,DER_BASIS,Basis,TIME_FORMAT,Time Format,AVAILABILITY,Availability,COLLECTION,Collection Indicator,TITLE_TS,Series,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
A,Annual,U,Turnover - notional amounts (daily average),H,FX swaps,B,Foreign exchange,5J,All countries (total),A,Total (all counterparties),5Z,Non-residents/Cross-border,A,Total (all sectors),EUR,Euro,USD,US dollar,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:H:B:5J:A:5Z:A:EUR:USD:A:A:3:C,,,,,,,,,,,,,,,,134201.986722,,,172372.898721,,,320042.516031,,,349419.886354,,,391363.996647,,,469632.739839,,,604119.408394,,,701377.777297
A,Annual,U,Turnover - notional amounts (daily average),M,Forward rate agreements,D,Interest rate,5J,All countries (total),B,Reporting dealers,5Z,Non-residents/Cross-border,A,Total (all sectors),TO1,Total (all currencies),PLN,Zloty,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:M:D:5J:B:5Z:A:TO1:PLN:A:A:3:C,,,,,,,,,,,,,,,,176.575,,,184.690476,,,270.910192,,,265.020596,,,1308.148436,,,581.836191,,,287.226945,,,945.017878
A,Annual,U,Turnover - notional amounts (daily average),A,Total (all instruments),B,Foreign exchange,5J,All countries (total),A,Total (all counterparties),5Z,Non-residents/Cross-border,A,Total (all sectors),JPY,Yen,BRL,Brazilian real,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:A:B:5J:A:5Z:A:JPY:BRL:A:A:3:C,,,,,,,,,,,,,,,,13.9,,,29.05,,,0.2,,,0.55,,,1806.294933,,,473.211548,,,678.853564,,,252.203938
A,Annual,U,Turnover - notional amounts (daily average),B,Spot,B,Foreign exchange,5J,All countries (total),C,Other financial institutions,5Z,Non-residents/Cross-border,A,Total (all sectors),TWD,New Taiwan dollar,USD,US dollar,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:B:B:5J:C:5Z:A:TWD:USD:A:A:3:C,,,,,,,,,,,,,,,,50.45,,,17.772727,,,76.8,,,203.047619,,,958.043336,,,3021.078388,,,3655.744587,,,4953.208021
A,Annual,U,Turnover - notional amounts (daily average),B,Spot,B,Foreign exchange,5J,All countries (total),C,Other financial institutions,5Z,Non-residents/Cross-border,A,Total (all sectors),USD,US dollar,CAD,Canadian dollar,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:B:B:5J:C:5Z:A:USD:CAD:A:A:3:C,,,,,,,87.537608,,,2207.325111,,,2869.383237,,,2439.97171,,,5039.291461,,,8787.500781,,,21126.062942,,,22213.166102,,,34351.16585,,,30354.803609,,,30408.945026
A,Annual,U,Turnover - notional amounts (daily average),B,Spot,B,Foreign exchange,5J,All countries (total),B,Reporting dealers,5Z,Non-residents/Cross-border,A,Total (all sectors),GBP,Pound (sterling),USD,US dollar,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:B:B:5J:B:5Z:A:GBP:USD:A:A:3:C,,,,,,,10578.645,,,7348.290256,,,11023.617709,,,9362.285565,,,21001.977994,,,31122.828729,,,30411.879093,,,27989.380862,,,33451.342602,,,28881.624796,,,42213.339335
A,Annual,U,Turnover - notional amounts (daily average),R,Options,D,Interest rate,5J,All countries (total),B,Reporting dealers,5Z,Non-residents/Cross-border,A,Total (all sectors),TO1,Total (all currencies),ZAR,Rand,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:R:D:5J:B:5Z:A:TO1:ZAR:A:A:3:C,,,,,,,,,,,,,8.86842,,,,,,4.416666,,,193.039722,,,187.225563,,,82.084536,,,117.847035,,,15.265133,,,18.515939
A,Annual,U,Turnover - notional amounts (daily average),I,Currency swaps,B,Foreign exchange,PE,Peru,C,Other financial institutions,5Z,Non-residents/Cross-border,A,Total (all sectors),TO1,Total (all currencies),TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:I:B:PE:C:5Z:A:TO1:TO1:A:A:3:B,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
A,Annual,U,Turnover - notional amounts (daily average),S,Options sold,B,Foreign exchange,5J,All countries (total),C,Other financial institutions,5Z,Non-residents/Cross-border,A,Total (all sectors),TO1,Total (all currencies),NOK,Norwegian krone,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),A,Gross - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:S:B:5J:C:5Z:A:TO1:NOK:A:A:3:A,,,,,,,,,,0.058823,,,,,,74.618092,,,60.796918,,,427.732738,,,248.478501,,,370.95443,,,607.170493,,,,,,
A,Annual,U,Turnover - notional amounts (daily average),E,Outright forwards,B,Foreign exchange,TW,Chinese Taipei,A,Total (all counterparties),5Z,Non-residents/Cross-border,A,Total (all sectors),TO1,Total (all currencies),TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:E:B:TW:A:5Z:A:TO1:TO1:A:A:3:B,,,,,,,,,,,,,204.619047,,,132.6,,,443.090908,,,661.25,,,468.761903,,,774.26481,,,1093.277061,,,1667.541837,,,829.320225
