order_id,customer_id,order_date,amount,status,region
ORD001,CUST001,2026-09-05,1200.5,DELIVERED,FR
ORD002,CUST002,2026-09-06,,SHIPPED,FR
ORD003,CUST003,2026-09-06,340.0,PENDING,BE
ORD004,CUST004,2026-09-04,89.9,DELIVERED,FR
ORD005,CUST999,2026-09-05,560.0,DELIVERED,FR
ORD006,CUST002,2026-09-07,220.0,UNKNOWN_STATUS,FR
ORD007,CUST003,2026-08-20,150.0,DELIVERED,BE
ORD008,CUST001,2026-09-05,1200.5,DELIVERED,FR
ORD009,CUST005,2026-09-06,75.0,CANCELLED,FR
ORD010,CUST006,2026-09-01,999.99,DELIVERED,DE
ORD001,CUST001,2026-09-05,1200.5,DELIVERED,FR
