FREQ,Frequency,DER_TYPE,Measure,DER_INSTR,Instrument,DER_RISK,Risk category,DER_REP_CTY,Reporting country,DER_SECTOR_CPY,Counterparty sector,DER_CPC,Counterparty country,DER_SECTOR_UDL,Underlying risk sector,DER_CURR_LEG1,Currency leg 1,DER_CURR_LEG2,Currency leg 2,DER_ISSUE_MAT,Maturity,DER_RATING,Rating (outstanding) or settlement (FX turnover),DER_EX_METHOD,Execution method,DER_BASIS,Basis,TIME_FORMAT,Time Format,AVAILABILITY,Availability,COLLECTION,Collection Indicator,TITLE_TS,Series,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
A,Annual,U,Turnover - notional amounts (daily average),8,Other interest rate swaps,D,Interest rate,DK,Denmark,A,Total (all counterparties),1E,Residents/Local,A,Total (all sectors),TO1,Total (all currencies),TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:8:D:DK:A:1E:A:TO1:TO1:A:A:3:B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.562459,,,1646.283564
A,Annual,U,Turnover - notional amounts (daily average),E,Outright forwards,B,Foreign exchange,LV,Latvia,A,Total (all counterparties),5J,All countries (total),A,Total (all sectors),TO1,Total (all currencies),SGD,Singapore dollar,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:E:B:LV:A:5J:A:TO1:SGD:A:A:3:B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002952,,,,,,
A,Annual,U,Turnover - notional amounts (daily average),E,Outright forwards,B,Foreign exchange,PL,Poland,A,Total (all counterparties),5J,All countries (total),A,Total (all sectors),USD,US dollar,SGD,Singapore dollar,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:E:B:PL:A:5J:A:USD:SGD:A:A:3:B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005714,,,,,,
A,Annual,U,Turnover - notional amounts (daily average),A,Total (all instruments),B,Foreign exchange,CO,Colombia,A,Total (all counterparties),5J,All countries (total),A,Total (all sectors),EUR,Euro,JPY,Yen,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:A:B:CO:A:5J:A:EUR:JPY:A:A:3:B,,,,,,,,,,,,,,,,,,,0.75,,,0.005263,,,,,,,,,,,,,,,
A,Annual,U,Turnover - notional amounts (daily average),N,Interest rate swaps,D,Interest rate,JP,Japan,A,Total (all counterparties),5J,All countries (total),A,Total (all sectors),TWD,New Taiwan dollar,TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:N:D:JP:A:5J:A:TWD:TO1:A:A:3:B,,,,,,,,,,,,,,,,,,,,,,14.55,,,,,,,,,,,,,,,
A,Annual,U,Turnover - notional amounts (daily average),8,Other interest rate swaps,D,Interest rate,ES,Spain,A,Total (all counterparties),5J,All countries (total),A,Total (all sectors),TO1,Total (all currencies),CLP,Chilean peso,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:8:D:ES:A:5J:A:TO1:CLP:A:A:3:B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.879629,,,68.294346
A,Annual,U,Turnover - notional amounts (daily average),R,Options,D,Interest rate,NL,Netherlands,A,Total (all counterparties),5J,All countries (total),A,Total (all sectors),HUF,Forint,TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:R:D:NL:A:5J:A:HUF:TO1:A:A:3:B,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,0.375593,,,,,,
A,Annual,U,Turnover - notional amounts (daily average),H,FX swaps,B,Foreign exchange,5J,All countries (total),A,Total (all counterparties),5J,All countries (total),A,Total (all sectors),CNY,Renminbi,TO1,Total (all currencies),J,Over 1 month and up to 3 months,A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:H:B:5J:A:5J:A:CNY:TO1:J:A:3:C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13549.458319,,,20949.383033
A,Annual,U,Turnover - notional amounts (daily average),I,Currency swaps,B,Foreign exchange,ES,Spain,A,Total (all counterparties),5J,All countries (total),A,Total (all sectors),USD,US dollar,PLN,Zloty,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:I:B:ES:A:5J:A:USD:PLN:A:A:3:B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.687892,,,
A,Annual,U,Turnover - notional amounts (daily average),A,Total (all instruments),D,Interest rate,BR,Brazil,A,Total (all counterparties),5J,All countries (total),A,Total (all sectors),SGD,Singapore dollar,TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:A:D:BR:A:5J:A:SGD:TO1:A:A:3:B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1365,,,,,,
